icao,regid,mdl,type,operator
000334,00000000,0000,Edra Super Petrel LS,Private owner
000d77,00000000,0000,WT-9 Dynamic,Private owner
000d82,00000000,0000,Aerospool WT9 Dynamic,Private owner
001100,00000000,0000,Unknown / Various,Code used by several aircraft
001108,00000000,0000,Gulfstream 690D,Ejercito de Colombia
001286,00000000,0000,Amateur Vans RV-9A,Private owner
001303,00000000,0000,Amateur Vans RV-7,Private owner
001411,00000000,0000,Amateur Vans RV-9A,Private owner
002008,00000000,0000,Tecnam P-2008,Private owner
002448,00000000,0000,Amateur Vans RV-10,Private owner
003106,00000000,0000,Amateur Gfly,Private owner
004003,z-wpb,b732,Boeing 737-2N0,Air Zimbabwe
00400c,z-faa,b735,Boeing 737-55S,FlyAfrica
00400e,z-fab,b735,Boeing 737-55S,FlyAfrica
00400f,z-fje,a319,Airbus A319-131,Fastjet Zimbabwe
004022,z-gaa,md11,McDonnell Douglas MD-11F,Global Africa Cargo
004024,z-gab,md11,McDonnell Douglas MD-11F,Global Africa Aviation
004025,z-gac,md11,McDonnell Douglas MD-11F,Global Africa Aviation
004044,pt-zno,rv10,Amateur Vans RV-10,Private owner
00412d,z-wpf,b762,Boeing 767-2N0ER,Air Zimbabwe
00415c,z-wpe,b762,Boeing 767-2N0ER,Air Zimbabwe
004306,pr-zhb,rv7,Amateur Vans RV-7,Private owner
00600a,c9-aul,dh8d,Bombardier Dash 8 Q400,LAM Mozambique Airlines
00600b,c9-aum,dh8d,Bombardier Dash 8 Q400,LAM Mozambique Airlines
00600c,c9-ema,e190,Embraer ERJ-190,LAM Mozambique Airlines
00600d,c9-emb,e190,Embraer ERJ-190,LAM Mozambique Airlines
006011,c9-bap,b735,Boeing 737-53S,LAM Mozambique Airlines
006012,c9-mex,e145,Embraer ERJ-145MP,Mocambique Expresso
006014,c9-meh,e145,Embraer ERJ-145MP,LAM Mozambique Airlines
006019,c9-mek,e145,Embraer ERJ-145MP,Mocambique Expresso
0074e3,n75wv,rv7,Amateur Vans RV-7,Private owner
008000,-,a58,Unknown / Various,Code used by several aircraft
00801b,zs-aak,j328,Dornier Do-328JET-300,Private owner
00801c,zs-aal,b350,Beech 300 Super King Air 350,Private owner
008024,zs-aat,j328,Dornier Do-328JET-300,Avex Air Transport
008079,zs-aea,b190,Beech 1900D,Solenta Aviation
0081a9,zs-aps,pc12,Pilatus PC12/47,Private owner
0081d3,zs-ari,s22t,Cirrus SR22T,Private owner
0081f1,zs-asm,c441,Cessna 441 Conquest II,Private owner
0081fb,zs-asw,rj85,British Aerospace Avro RJ85,Airlink
0081fc,zs-asx,rj85,Avro RJ85,Airlink
0081fd,zs-asy,rj85,British Aerospace Avro RJ85,Airlink
0081fe,zs-asz,rj85,Avro RJ85,Airlink
00820b,zs-atm,pc12,Pilatus PC12/45,Private owner
0082d1,zs-bbc,e145,Embraer ERJ-145LU,Solenta Aviation
0082d2,zs-bbd,e145,Embraer ERJ-145LU,Solenta Aviation
0082d6,z-fjf,e145,Embraer ERJ-145LR,Air Zimbabwe
0082d7,zs-bbi,e145,Embraer ERJ-145LR,Private owner
0082d8,zs-bbj,e145,Embraer ERJ-145LR,Solenta Aviation
0082db,zs-bbm,e145,Embraer ERJ-145LR,Solenta Aviation
008330,zs-bet,sr22,Cirrus SR22,Private owner
008364,zs-bgt,be20,Beech B200GT Super King Air,Private owner
008367,zs-bgw,dh8c,Bombardier Dash 8 Q300,Golden Wings
008597,zs-cck,b350,Beech B300 King Air 350,Private owner
0085cd,zs-cem,b190,Beech 1900D,Private owner
008620,zs-chr,b190,Beech 1900D,Private owner
00866f,zs-cks,da42,Diamond DA42,Private owner
008686,zs-clp,sr22,Cirrus SR22T,Private owner
008692,zs-cmb,crj1,Canadair CRJ-100,Proflight Air Services
008694,zs-cmd,crj1,Canadair CRJ-100,Cemair
008699,zs-cmi,b190,Beech 1900D,Cemair
008715,zs-crc,sr22,Cirrus SR22,Private owner
00871c,zs-crj,crj1,Canadair CL-600-2B19 Regional,Cemair
